iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
60	0.9037596583366394	0.5390625	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
61	0.9234368801116943	0.55859375	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
62	0.892041802406311	0.5625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
63	0.8346961736679077	0.65625	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
64	0.8768948316574097	0.59375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
65	0.8843871355056763	0.58203125	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
66	0.9153168797492981	0.53515625	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
67	0.8686683773994446	0.5703125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
68	0.8362147212028503	0.58984375	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
69	0.8787533044815063	0.5703125	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
70	0.8543822169303894	0.6171875	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
71	0.8369922637939453	0.61328125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
72	0.8205940127372742	0.671875	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
73	0.887016236782074	0.53125	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
74	0.8528038859367371	0.5703125	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
75	0.8614126443862915	0.57421875	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
76	0.9024274349212646	0.515625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
77	0.7754681706428528	0.6640625	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
78	0.7890948057174683	0.65234375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
79	0.8113499879837036	0.6171875	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
80	0.8349364995956421	0.57421875	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
81	0.7605458498001099	0.65234375	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
82	0.7889662981033325	0.61328125	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
83	0.8587207794189453	0.57421875	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
84	0.8024390339851379	0.6484375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
85	0.7602083086967468	0.64453125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
86	0.8466207981109619	0.609375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
87	0.7546719312667847	0.65234375	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
88	0.7482342720031738	0.65234375	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
89	0.7870014309883118	0.640625	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
90	0.8205653429031372	0.58984375	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
91	0.749863862991333	0.65234375	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
92	0.7862732410430908	0.6328125	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
93	0.791877031326294	0.62109375	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
94	0.7959198355674744	0.625	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
95	0.7264668345451355	0.65625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
96	0.7635393142700195	0.6484375	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
97	0.8309181332588196	0.6015625	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
98	0.7664179801940918	0.63671875	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
99	0.7305105328559875	0.6875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
100	0.8122130632400513	0.60546875	137603	0.33203125	max		256		1	128	False			0.001	8	100	36			mlp	True
101	0.8319109678268433	0.625	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
102	0.8168430328369141	0.59765625	137603	0.33203125	max		256		1	128	False			0.001	8	100	36			mlp	True
103	0.7211621999740601	0.703125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
104	0.7265542149543762	0.66796875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
105	0.7835740447044373	0.62890625	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
106	0.7412570118904114	0.640625	137603	0.328125	max		256		1	128	False			0.001	8	100	36			mlp	True
107	0.8219947218894958	0.59765625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
108	0.7252495288848877	0.640625	137603	0.265625	max		256		1	128	False			0.001	8	100	36			mlp	True
109	0.7865694761276245	0.58984375	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
110	0.7600618600845337	0.6328125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
111	0.6902965903282166	0.69921875	137603	0.25	max		256		1	128	False			0.001	8	100	36			mlp	True
112	0.7330183982849121	0.6328125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
113	0.7518252730369568	0.65625	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
114	0.7286875247955322	0.6328125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
115	0.7086877822875977	0.65234375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
116	0.6759030222892761	0.671875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
117	0.6965551972389221	0.6796875	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
118	0.643760621547699	0.70703125	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
119	0.7068486213684082	0.68359375	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
120	0.6508752107620239	0.75	137603	0.26953125	max		256		1	128	False			0.001	8	100	36			mlp	True
121	0.7080204486846924	0.66015625	137603	0.26953125	max		256		1	128	False			0.001	8	100	36			mlp	True
122	0.7437697052955627	0.62890625	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
123	0.6912654042243958	0.6953125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
124	0.7339540123939514	0.6484375	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
